Timestamp (sec.nanosec),Frame ID,x,y,z
1700100137.938910052, DW5188, 1.5, 0.0, 2.5
1700100138.139241906, DW5188, 1.5, 0.0, 2.5
1700100138.140802652, HO2165, 1.5, 0.5, 1.5
1700100138.141649762, FJ9876, 1.5, 3.0, 2.5
1700100138.142391297, DW5185, 3.0, 1.5, 2.5
1700100138.238773166, DW5188, 1.5, 0.0, 2.5
1700100138.240039540, HO2165, 1.5, 0.5, 1.5
1700100138.240799483, FJ9876, 1.5, 3.0, 2.5
1700100138.241490098, DW5185, 3.0, 1.5, 2.5
1700100138.339377292, DW5188, 1.5, 0.0, 2.5
1700100138.341001293, HO2165, 1.5, 0.5, 1.5
1700100138.341900111, FJ9876, 1.5, 3.0, 2.5
1700100138.342687044, DW5185, 3.0, 1.5, 2.5
1700100138.439087078, DW5188, 1.5, 0.0, 2.5
1700100138.440650666, HO2165, 1.5, 0.5, 1.5
1700100138.441494618, FJ9876, 1.5, 3.0, 2.5
1700100138.442222290, DW5185, 3.0, 1.5, 2.5
1700100138.539417258, DW5188, 1.5, 0.0, 2.5
1700100138.541286533, HO2165, 1.5, 0.5, 1.5
1700100138.542241485, FJ9876, 1.5, 3.0, 2.5
1700100138.543059524, DW5185, 3.0, 1.5, 2.5
1700100138.639685334, DW5188, 1.5, 0.0, 2.5
1700100138.641637418, HO2165, 1.5, 0.5, 1.5
1700100138.642623928, FJ9876, 1.5, 3.0, 2.5
1700100138.643486473, DW5185, 3.0, 1.5, 2.5
1700100138.739179940, DW5188, 1.5, 0.0, 2.5
1700100138.740714000, HO2165, 1.5, 0.5, 1.5
1700100138.741553890, FJ9876, 1.5, 3.0, 2.5
1700100138.742307524, DW5185, 3.0, 1.5, 2.5
1700100138.839095183, DW5188, 1.5, 0.0, 2.5
1700100138.840458801, HO2165, 1.5, 0.5, 1.5
1700100138.841266555, FJ9876, 1.5, 3.0, 2.5
1700100138.841974126, DW5185, 3.0, 1.5, 2.5
1700100138.939483376, DW5188, 1.5, 0.0, 2.5
1700100138.941259344, HO2165, 1.5, 0.5, 1.5
1700100138.942213508, FJ9876, 1.5, 3.0, 2.5
1700100138.943037079, DW5185, 3.0, 1.5, 2.5
1700100139.39183868, DW5188, 1.5, 0.0, 2.5
1700100139.40611206, HO2165, 1.5, 0.5, 1.5
1700100139.41387362, FJ9876, 1.5, 3.0, 2.5
1700100139.42076285, DW5185, 3.0, 1.5, 2.5
1700100139.139369086, DW5188, 1.5, 0.0, 2.5
1700100139.141231826, HO2165, 1.5, 0.5, 1.5
1700100139.142223530, FJ9876, 1.5, 3.0, 2.5
1700100139.143060099, DW5185, 3.0, 1.5, 2.5
1700100139.239211093, DW5188, 1.5, 0.0, 2.5
1700100139.240766407, HO2165, 1.5, 0.5, 1.5
1700100139.241625736, FJ9876, 1.5, 3.0, 2.5
1700100139.242384215, DW5185, 3.0, 1.5, 2.5
1700100139.338957059, DW5188, 1.5, 0.0, 2.5
1700100139.340297729, HO2165, 1.5, 0.5, 1.5
1700100139.341067906, FJ9876, 1.5, 3.0, 2.5
1700100139.341717190, DW5185, 3.0, 1.5, 2.5
1700100139.439370256, DW5188, 1.5, 0.0, 2.5
1700100139.441238384, HO2165, 1.5, 0.5, 1.5
1700100139.442223877, FJ9876, 1.5, 3.0, 2.5
1700100139.443065643, DW5185, 3.0, 1.5, 2.5
1700100139.539173472, DW5188, 1.5, 0.0, 2.5
1700100139.540813628, HO2165, 1.5, 0.5, 1.5
1700100139.541662436, FJ9876, 1.5, 3.0, 2.5
1700100139.542423373, DW5185, 3.0, 1.5, 2.5
1700100139.639607532, DW5188, 1.5, 0.0, 2.5
1700100139.641371032, HO2165, 1.5, 0.5, 1.5
1700100139.642330333, FJ9876, 1.5, 3.0, 2.5
1700100139.643165808, DW5185, 3.0, 1.5, 2.5
1700100139.739208596, DW5188, 1.5, 0.0, 2.5
1700100139.740733208, HO2165, 1.5, 0.5, 1.5
1700100139.741605708, FJ9876, 1.5, 3.0, 2.5
1700100139.742359949, DW5185, 3.0, 1.5, 2.5
1700100139.839147651, DW5188, 1.5, 0.0, 2.5
1700100139.840739260, HO2165, 1.5, 0.5, 1.5
1700100139.841603284, FJ9876, 1.5, 3.0, 2.5
1700100139.842348931, DW5185, 3.0, 1.5, 2.5
1700100139.939477382, DW5188, 1.5, 0.0, 2.5
1700100139.941190161, HO2165, 1.5, 0.5, 1.5
1700100139.942085726, FJ9876, 1.5, 3.0, 2.5
1700100139.942850366, DW5185, 3.0, 1.5, 2.5
1700100140.39257117, DW5188, 1.5, 0.0, 2.5
1700100140.40666213, HO2165, 1.5, 0.5, 1.5
1700100140.41449980, FJ9876, 1.5, 3.0, 2.5
1700100140.42141157, DW5185, 3.0, 1.5, 2.5
1700100140.139002913, DW5188, 1.5, 0.0, 2.5
1700100140.140240236, HO2165, 1.5, 0.5, 1.5
1700100140.140925411, FJ9876, 1.5, 3.0, 2.5
1700100140.141539964, DW5185, 3.0, 1.5, 2.5
1700100140.239033557, DW5188, 1.5, 0.0, 2.5
1700100140.240345912, HO2165, 1.5, 0.5, 1.5
1700100140.241088484, FJ9876, 1.5, 3.0, 2.5
1700100140.241745374, DW5185, 3.0, 1.5, 2.5
1700100140.338999633, DW5188, 1.5, 0.0, 2.5
1700100140.340217842, HO2165, 1.5, 0.5, 1.5
1700100140.340904937, FJ9876, 1.5, 3.0, 2.5
1700100140.341525123, DW5185, 3.0, 1.5, 2.5
1700100140.438932717, DW5188, 1.5, 0.0, 2.5
1700100140.440342971, HO2165, 1.5, 0.5, 1.5
1700100140.441107416, FJ9876, 1.5, 3.0, 2.5
1700100140.441765247, DW5185, 3.0, 1.5, 2.5
1700100140.538895511, DW5188, 1.5, 0.0, 2.5
1700100140.540153012, HO2165, 1.5, 0.5, 1.5
1700100140.540856923, FJ9876, 1.5, 3.0, 2.5
1700100140.541471845, DW5185, 3.0, 1.5, 2.5
1700100140.638836331, DW5188, 1.5, 0.0, 2.5
1700100140.640110070, HO2165, 1.5, 0.5, 1.5
1700100140.640799879, FJ9876, 1.5, 3.0, 2.5
1700100140.641414671, DW5185, 3.0, 1.5, 2.5
1700100140.738901463, DW5188, 1.5, 0.0, 2.5
1700100140.740118490, HO2165, 1.5, 0.5, 1.5
1700100140.740814165, FJ9876, 1.5, 3.0, 2.5
1700100140.741437565, DW5185, 3.0, 1.5, 2.5
1700100140.838920013, DW5188, 1.5, 0.0, 2.5
1700100140.840147865, HO2165, 1.5, 0.5, 1.5
1700100140.840834434, FJ9876, 1.5, 3.0, 2.5
1700100140.841460513, DW5185, 3.0, 1.5, 2.5
1700100140.939257671, DW5188, 1.5, 0.0, 2.5
1700100140.940767567, HO2165, 1.5, 0.5, 1.5
1700100140.941617746, FJ9876, 1.5, 3.0, 2.5
1700100140.942369278, DW5185, 3.0, 1.5, 2.5
1700100141.39093333, DW5188, 1.5, 0.0, 2.5
1700100141.40050773, HO2165, 1.5, 0.5, 1.5
1700100141.41028376, FJ9876, 1.5, 3.0, 2.5
1700100141.41651532, DW5185, 3.0, 1.5, 2.5
1700100141.139348307, DW5188, 1.5, 0.0, 2.5
1700100141.140850641, HO2165, 1.5, 0.5, 1.5
1700100141.141685757, FJ9876, 1.5, 3.0, 2.5
1700100141.142427679, DW5185, 3.0, 1.5, 2.5
1700100141.238846862, DW5188, 1.5, 0.0, 2.5
1700100141.240006298, HO2165, 1.5, 0.5, 1.5
1700100141.240663728, FJ9876, 1.5, 3.0, 2.5
1700100141.241246679, DW5185, 3.0, 1.5, 2.5
1700100141.339567414, DW5188, 1.5, 0.0, 2.5
1700100141.341355270, HO2165, 1.5, 0.5, 1.5
1700100141.342305165, FJ9876, 1.5, 3.0, 2.5
1700100141.343118666, DW5185, 3.0, 1.5, 2.5
1700100141.438879061, DW5188, 1.5, 0.0, 2.5
1700100141.440068076, HO2165, 1.5, 0.5, 1.5
1700100141.440738314, FJ9876, 1.5, 3.0, 2.5
1700100141.441343321, DW5185, 3.0, 1.5, 2.5
1700100141.539063080, DW5188, 1.5, 0.0, 2.5
1700100141.540378155, HO2165, 1.5, 0.5, 1.5
1700100141.541124151, FJ9876, 1.5, 3.0, 2.5
1700100141.541770901, DW5185, 3.0, 1.5, 2.5
1700100141.639101355, DW5188, 1.5, 0.0, 2.5
1700100141.640522254, HO2165, 1.5, 0.5, 1.5
1700100141.641319635, FJ9876, 1.5, 3.0, 2.5
1700100141.642013699, DW5185, 3.0, 1.5, 2.5
1700100141.739313550, DW5188, 1.5, 0.0, 2.5
1700100141.740923947, HO2165, 1.5, 0.5, 1.5
1700100141.741752075, FJ9876, 1.5, 3.0, 2.5
1700100141.742483315, DW5185, 3.0, 1.5, 2.5
1700100141.839170337, DW5188, 1.5, 0.0, 2.5
1700100141.840652882, HO2165, 1.5, 0.5, 1.5
1700100141.841448308, FJ9876, 1.5, 3.0, 2.5
1700100141.842153067, DW5185, 3.0, 1.5, 2.5
1700100141.938911881, DW5188, 1.5, 0.0, 2.5
1700100141.940245794, HO2165, 1.5, 0.5, 1.5
1700100141.941038695, FJ9876, 1.5, 3.0, 2.5
1700100141.941710715, DW5185, 3.0, 1.5, 2.5
1700100142.39094164, DW5188, 1.5, 0.0, 2.5
1700100142.40026536, HO2165, 1.5, 0.5, 1.5
1700100142.40990904, FJ9876, 1.5, 3.0, 2.5
1700100142.41619626, DW5185, 3.0, 1.5, 2.5
1700100142.139603365, DW5188, 1.5, 0.0, 2.5
1700100142.140862362, HO2165, 1.5, 0.5, 1.5
1700100142.142121722, FJ9876, 1.5, 3.0, 2.5
1700100142.142903257, DW5185, 3.0, 1.5, 2.5
1700100142.239271530, DW5188, 1.5, 0.0, 2.5
1700100142.241091803, HO2165, 1.5, 0.5, 1.5
1700100142.242007644, FJ9876, 1.5, 3.0, 2.5
1700100142.242784921, DW5185, 3.0, 1.5, 2.5
1700100142.339130826, DW5188, 1.5, 0.0, 2.5
1700100142.340633755, HO2165, 1.5, 0.5, 1.5
1700100142.341408965, FJ9876, 1.5, 3.0, 2.5
1700100142.342106756, DW5185, 3.0, 1.5, 2.5
1700100142.439021310, DW5188, 1.5, 0.0, 2.5
1700100142.440312401, HO2165, 1.5, 0.5, 1.5
1700100142.441068132, FJ9876, 1.5, 3.0, 2.5
1700100142.441733567, DW5185, 3.0, 1.5, 2.5
1700100142.539080000, DW5188, 1.5, 0.0, 2.5
1700100142.540482152, HO2165, 1.5, 0.5, 1.5
1700100142.541291211, FJ9876, 1.5, 3.0, 2.5
1700100142.541997092, DW5185, 3.0, 1.5, 2.5
1700100142.638896753, DW5188, 1.5, 0.0, 2.5
1700100142.640028596, HO2165, 1.5, 0.5, 1.5
1700100142.640670759, FJ9876, 1.5, 3.0, 2.5
1700100142.641267846, DW5185, 3.0, 1.5, 2.5
1700100142.739753515, DW5188, 1.5, 0.0, 2.5
1700100142.741685025, HO2165, 1.5, 0.5, 1.5
1700100142.742680821, FJ9876, 1.5, 3.0, 2.5
1700100142.743529581, DW5185, 3.0, 1.5, 2.5
1700100142.839136655, DW5188, 1.5, 0.0, 2.5
1700100142.840539303, HO2165, 1.5, 0.5, 1.5
1700100142.841321161, FJ9876, 1.5, 3.0, 2.5
1700100142.842016750, DW5185, 3.0, 1.5, 2.5
1700100142.939208372, DW5188, 1.5, 0.0, 2.5
1700100142.940649027, HO2165, 1.5, 0.5, 1.5
1700100142.941437565, FJ9876, 1.5, 3.0, 2.5
1700100142.942136086, DW5185, 3.0, 1.5, 2.5
1700100143.39144906, DW5188, 1.5, 0.0, 2.5
1700100143.40641731, HO2165, 1.5, 0.5, 1.5
1700100143.41439155, FJ9876, 1.5, 3.0, 2.5
1700100143.42139695, DW5185, 3.0, 1.5, 2.5
1700100143.139232753, DW5188, 1.5, 0.0, 2.5
1700100143.140275333, HO2165, 1.5, 0.5, 1.5
1700100143.141368821, FJ9876, 1.5, 3.0, 2.5
1700100143.142077493, DW5185, 3.0, 1.5, 2.5
1700100143.238728874, DW5188, 1.5, 0.0, 2.5
1700100143.239635584, HO2165, 1.5, 0.5, 1.5
1700100143.239887123, FJ9876, 1.5, 3.0, 2.5
1700100143.240136880, DW5185, 3.0, 1.5, 2.5
1700100143.338418717, DW5188, 1.5, 0.0, 2.5
1700100143.339133978, HO2165, 1.5, 0.5, 1.5
1700100143.339578796, FJ9876, 1.5, 3.0, 2.5
1700100143.339974513, DW5185, 3.0, 1.5, 2.5
1700100143.439029727, DW5188, 1.5, 0.0, 2.5
1700100143.439888888, HO2165, 1.5, 0.5, 1.5
1700100143.440873716, FJ9876, 1.5, 3.0, 2.5
1700100143.441515453, DW5185, 3.0, 1.5, 2.5
1700100143.539039497, DW5188, 1.5, 0.0, 2.5
1700100143.540331826, HO2165, 1.5, 0.5, 1.5
1700100143.541073325, FJ9876, 1.5, 3.0, 2.5
1700100143.541722285, DW5185, 3.0, 1.5, 2.5
1700100143.639612002, DW5188, 1.5, 0.0, 2.5
